player_id,updatedAt,url,name,fullName,nameInHomeCountry,description,imageUrl,dateOfBirth,age,height,citizenship,isRetired,retiredSince,position_main,position_other,foot,shirtNumber,club_id,club_name,joined,contractExpires,contractOption,lastClubId,lastClubName,mostGamesFor,marketValue,agent_name,agent_url,outfitter,socialMedia,trainerProfile_id,trainerProfile_url,trainerProfile_position,placeOfBirth_city,placeOfBirth_country
658533,2025-11-14T04:57:15.758598,https://www.transfermarkt.com/abu-francis/profil/spieler/658533,Abu Francis,,,"Abu Francis, 24, from Ghana ➤ FC Toulouse, since 2025 ➤ Central Midfield ➤ Market value: €1.80m ➤ * 27/04/2001 in Accra, Ghana",https://img.a.transfermarkt.technology/portrait/header/658533-1672485121.jpg?lm=1,,,182.0,Ghana,False,,Central Midfield,"Defensive Midfield, Attacking Midfield",right,#17,415,Toulouse,2025-06-08,2029-06-30,,,,,1800000.0,Sports eXcellence ...,/sports-excellence-group/beraterfirma/berater/7564,,http://www.instagram.com/afrancis.8/,,,,Accra,Ghana
530173,2025-11-14T04:57:46.549431,https://www.transfermarkt.com/julian-niehues/profil/spieler/530173,Julian Niehues,,,"Julian Niehues, 24, from Germany ➤ 1.FC Heidenheim 1846, since 2024 ➤ Defensive Midfield ➤ Market value: €1.50m ➤ * 17/04/2001 in Münster, Germany",https://img.a.transfermarkt.technology/portrait/header/530173-1721852705.jpg?lm=1,,,195.0,Germany,False,,Defensive Midfield,Centre-Back,right,#16,2036,Heidenheim,2024-01-07,2027-06-30,,,,,1500000.0,Teamgeist ...,/teamgeist-sportmanagement-gmbh/beraterfirma/berater/5126,,,,,,Münster,Germany
509022,2025-11-14T04:58:16.998304,https://www.transfermarkt.com/federico-gatti/profil/spieler/509022,Federico Gatti,,,"Federico Gatti, 27, from Italy ➤ Juventus FC, since 2021 ➤ Centre-Back ➤ Market value: €24.00m ➤ * 24/06/1998 in Rivoli, Italy",https://img.a.transfermarkt.technology/portrait/header/509022-1725531068.jpg?lm=1,,,190.0,Italy,False,,Centre-Back,,right,#4,506,Juventus,2022-01-31,2030-06-30,,,,,24000000.0,One Players' Agent,/one-players-agent/beraterfirma/berater/12107,adidas,http://www.instagram.com/federico_gatti2406/,,,,Rivoli,Italy
815563,2025-11-14T04:58:47.408496,https://www.transfermarkt.com/lapo-nava/profil/spieler/815563,Lapo Nava,,Lapo Francesco Maria Nava,"Lapo Nava, 21, from Italy ➤ US Cremonese, since 2025 ➤ Goalkeeper ➤ Market value: €100k ➤ * 22/01/2004 in Milano, Italy",https://img.a.transfermarkt.technology/portrait/header/815563-1681206054.jpg?lm=1,,,197.0,Italy,False,,Goalkeeper,,right,#69,2239,Cremonese,2025-07-17,2028-06-30,,,,,100000.0,BC Group,/bc-group/beraterfirma/berater/3113,,,,,,Milano,Italy
520840,2025-11-14T04:59:17.923387,https://www.transfermarkt.com/jose-copete/profil/spieler/520840,José Copete,,José Manuel Arias Copete,"José Copete, 26, from Spain ➤ Valencia CF, since 2025 ➤ Centre-Back ➤ Market value: €4.00m ➤ * 10/10/1999 in Écija, Spain",https://img.a.transfermarkt.technology/portrait/header/520840-1674915512.JPG?lm=1,,,190.0,Spain,False,,Centre-Back,,left,#3,1049,Valencia,2025-07-28,2029-06-30,,,,,4000000.0,YOU FIRST,/you-first/beraterfirma/berater/1406,,http://www.instagram.com/copete_5/,,,,Écija,Spain
1085031,2025-11-14T04:59:48.296525,https://www.transfermarkt.com/elia-plicco/profil/spieler/1085031,Elia Plicco,,,"Elia Plicco, 18, from Italy ➤ Parma Calcio 1913, since 2025 ➤ Attacking Midfield ➤ Market value: €400k ➤ * 01/02/2007 in Fidenza, Italy",https://img.a.transfermarkt.technology/portrait/header/1085031-1735894555.jpg?lm=1,,,183.0,Italy,False,,Attacking Midfield,"Central Midfield, Left Winger",right,#65,130,Parma,2025-04-07,2028-06-30,,,,,400000.0,MM-Management,/mm-management/beraterfirma/berater/10241,,,,,,Fidenza,Italy
467992,2025-11-14T05:00:18.698501,https://www.transfermarkt.com/samuele-ricci/profil/spieler/467992,Samuele Ricci,,,"Samuele Ricci, 24, from Italy ➤ AC Milan, since 2025 ➤ Defensive Midfield ➤ Market value: €25.00m ➤ * 21/08/2001 in Pontedera, Italy",https://img.a.transfermarkt.technology/portrait/header/467992-1730125512.jpg?lm=1,,,181.0,Italy,False,,Defensive Midfield,Central Midfield,right,#4,5,AC Milan,2025-03-07,2029-06-30,Option for a further year,,,,25000000.0,CAA Base Ltd,/caa-base-ltd/beraterfirma/berater/674,,http://www.instagram.com/ricci_samuele_28/,,,,Pontedera,Italy
413262,2025-11-14T05:00:49.065731,https://www.transfermarkt.com/dani-raba/profil/spieler/413262,Dani Raba,,Daniel Raba Antolín,"Dani Raba, 30, from Spain ➤ Valencia CF, since 2025 ➤ Second Striker ➤ Market value: €2.50m ➤ * 29/10/1995 in Santander, Spain",https://img.a.transfermarkt.technology/portrait/header/413262-1743493611.jpg?lm=1,,,185.0,Spain,False,,Second Striker,"Centre-Forward, Right Winger",left,#19,1049,Valencia,2025-01-07,2027-06-30,,,,,2500000.0,Joseba Diaz,/joseba-diaz/beraterfirma/berater/1063,,http://www.instagram.com/dani.raba/,,,,Santander,Spain
890719,2025-11-14T05:01:19.514971,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,Ethan Nwaneri,,Ethan Chidiebere Nwaneri,"Ethan Nwaneri, 18, from England ➤ Arsenal FC, since 2024 ➤ Attacking Midfield ➤ Market value: €45.00m ➤ * 21/03/2007 in London, England",https://img.a.transfermarkt.technology/portrait/header/890719-1730794927.jpg?lm=1,,,176.0,"England, Nigeria",False,,Attacking Midfield,"Right Winger, Centre-Forward",left,#22,11,Arsenal,2024-01-07,2030-06-30,,,,,45000000.0,Unique Sports Group,/unique-sports-group/beraterfirma/berater/4142,,"http://twitter.com/ethannwaneri10, http://instagram.com/ethan_nwaneri",,,,London,England
555820,2025-11-14T05:01:49.973583,https://www.transfermarkt.com/martin-payero/profil/spieler/555820,Martín Payero,,Martín Ismael Payero,"Martín Payero, 27, from Argentina ➤ US Cremonese, since 2025 ➤ Central Midfield ➤ Market value: €5.50m ➤ * 11/09/1998 in Pascanas, Argentina",https://img.a.transfermarkt.technology/portrait/header/555820-1707213845.jpg?lm=1,,,182.0,"Argentina, Italy",False,,Central Midfield,Attacking Midfield,right,#32,2239,Cremonese,2025-08-22,2026-06-30,Obligation to buy with conditions,,,,5500000.0,Team Raiola,/team-raiola/beraterfirma/berater/11115,adidas,"http://twitter.com/Payeromartin29, http://www.instagram.com/martinpayero1/",,,,Pascanas,Argentina
